,Date,Open,High,Low,Close,Signal,SMA,EMA,Total,BuyHold,Win/Lose
125,1/14/2011,5752.100098,5833.649902,5639.649902,5654.549805,0,5966.88750015,5894.02681827,13088664.9491,14748822.6376,0.0
126,1/17/2011,5648.799805,5696.149902,5624.149902,5654.75,0,5952.2725099,5864.11721599,13088664.9491,14752531.25,0.0
127,1/18/2011,5682.549805,5730.5,5671.25,5724.049805,0,5938.44250505,5846.60878961,13088664.9491,16036310.1376,0.0
128,1/19/2011,5737.350098,5747.649902,5662.549805,5691.049805,0,5923.7750002,5827.16391654,13088664.9491,15424985.1376,0.0
129,1/20/2011,5656.0,5729.450195,5634.5,5711.600098,0,5910.3550051,5812.71843922,13088664.9491,15805679.3154,0.0
130,1/21/2011,5692.049805,5717.549805,5674.5,5696.5,0,5894.6000002,5798.19113432,13088664.9491,15525950.0,0.0
131,1/24/2011,5717.100098,5756.0,5697.75,5743.25,0,5881.8574953,5791.32349253,13088664.9491,16391993.75,0.0
132,1/25/2011,5763.299805,5801.549805,5680.649902,5687.399902,0,5866.4274904,5778.33304371,13088664.9491,15357370.6846,0.0
133,1/27/2011,5725.299805,5726.100098,5594.950195,5604.299805,0,5843.62497575,5756.57888887,13088664.9491,13817941.3876,0.0
134,1/28/2011,5614.0,5614.399902,5459.549805,5512.149902,0,5814.13996595,5726.02526551,13088664.9491,12110864.4346,0.0
135,1/31/2011,5452.549805,5526.850098,5416.649902,5505.899902,0,5782.70996105,5698.50959507,13088664.9491,11995083.1846,0.0
136,2/1/2011,5537.299805,5539.149902,5402.0,5417.200195,0,5745.6899659,5663.34592006,13088664.9491,10351921.1124,0.0
137,2/2/2011,5469.549805,5490.600098,5415.649902,5432.0,0,5709.972461,5634.42768006,13088664.9491,10626087.5,0.0
138,2/3/2011,5430.450195,5532.649902,5418.0,5526.75,0,5682.31997075,5620.96797005,13088664.9491,12381331.25,0.0
139,2/4/2011,5519.899902,5556.299805,5369.049805,5395.75,0,5649.69497075,5592.81572379,13088664.9491,9954556.25,0.0
140,2/7/2011,5430.149902,5440.350098,5376.950195,5396.0,0,5624.26496585,5568.21375832,13088664.9491,9959187.5,0.0
141,2/8/2011,5432.350098,5432.350098,5303.399902,5312.549805,0,5601.7499512,5536.25576415,13088664.9491,8413272.63762,0.0
142,2/9/2011,5293.049805,5339.450195,5225.649902,5253.549805,0,5576.72243655,5500.91751926,13088664.9491,7320297.63762,0.0
143,2/10/2011,5246.049805,5272.600098,5196.799805,5225.799805,0,5544.8499268,5466.52780498,13088664.9491,6806228.88762,0.0
144,2/11/2011,5219.649902,5319.450195,5177.700195,5310.0,1,5522.7549317,5446.96182936,13078390.0991,8366037.5,0.0
145,2/14/2011,5340.25,5463.799805,5340.25,5456.0,0,5512.82744145,5448.09160069,14490940.0991,11070687.5,0.0
146,2/15/2011,5467.75,5506.5,5408.350098,5481.0,0,5504.13994145,5452.2051506,14732815.0991,11533812.5,0.0
147,2/16/2011,5467.600098,5504.799805,5460.350098,5481.700195,0,5492.02246095,5455.89203115,14739589.4857,11546783.6124,0.0
148,2/17/2011,5501.700195,5553.0,5463.399902,5546.450195,0,5484.79248045,5467.21180163,15366045.7357,12746277.3624,0.0
149,2/18/2011,5557.549805,5599.25,5441.950195,5458.950195,0,5472.1599853,5466.1791008,14519483.2357,11125339.8624,0.0
150,2/21/2011,5456.600098,5526.25,5413.100098,5518.600098,-1,5463.2649902,5472.73172545,15085917.556,12230354.3154,2018205.94815
151,2/22/2011,5504.399902,5519.450195,5437.299805,5469.200195,0,5449.56249995,5472.29028415,15085917.556,11315221.1124,0.0
152,2/23/2011,5452.450195,5495.200195,5427.549805,5437.350098,0,5437.06000975,5467.92276088,15085917.556,10725198.0654,0.0
153,2/24/2011,5408.75,5423.399902,5242.5,5262.700195,0,5419.98002925,5442.26994014,15085917.556,7489808.61238,0.0
154,2/25/2011,5321.049805,5338.200195,5232.75,5303.549805,0,5409.5500244,5424.92992325,15085917.556,8246547.63762,0.0
155,2/28/2011,5330.149902,5477.0,5308.600098,5333.25,0,5400.9175293,5413.46993284,15085917.556,8796743.75,0.0
156,3/1/2011,5382.0,5533.049805,5373.549805,5522.299805,0,5406.1725098,5427.07366686,15085917.556,12298891.3876,0.0
157,3/3/2011,5478.450195,5570.75,5468.25,5536.200195,0,5411.38251955,5440.71448288,15085917.556,12556396.1124,0.0
158,3/4/2011,5586.200195,5608.200195,5524.100098,5538.75,0,5411.98251955,5452.96892252,15085917.556,12603631.25,0.0
159,3/7/2011,5490.049805,5491.25,5408.450195,5463.149902,0,5415.35251465,5454.24154496,15085917.556,11203139.4346,0.0
160,3/8/2011,5466.100098,5530.549805,5464.75,5520.799805,0,5421.5925049,5462.56132746,15085917.556,12271103.8876,0.0
161,3/9/2011,5542.399902,5563.299805,5477.450195,5531.0,0,5432.51501465,5471.11616153,15085917.556,12460062.5,0.0
162,3/10/2011,5516.100098,5516.299805,5468.450195,5494.399902,0,5444.5575195,5474.02662909,15085917.556,11782045.6846,0.0
163,3/11/2011,5456.149902,5502.700195,5411.549805,5445.450195,0,5455.540039,5470.45457483,15085917.556,10875252.3624,0.0
164,3/14/2011,5436.5,5537.299805,5434.25,5531.5,0,5466.615039,5478.08525297,15085917.556,12469325.0,0.0
165,3/15/2011,5420.0,5497.850098,5373.649902,5449.649902,0,5466.2975341,5474.5308341,15085917.556,10953051.9346,0.0
166,3/16/2011,5475.950195,5535.100098,5475.950195,5511.149902,0,5467.8050292,5479.10821759,15085917.556,12092339.4346,0.0
167,3/17/2011,5455.399902,5510.049805,5435.299805,5446.649902,0,5466.05251455,5475.05092814,15085917.556,10897476.9346,0.0
168,3/18/2011,5475.350098,5483.049805,5366.399902,5373.700195,0,5457.41501455,5462.3820865,15085917.556,9546083.61238,0.0
169,3/21/2011,5408.75,5413.299805,5348.200195,5364.75,0,5452.7050048,5450.17807569,15085917.556,9380281.25,0.0
170,3/22/2011,5390.850098,5428.149902,5376.149902,5413.850098,0,5447.4675048,5445.63707847,15085917.556,10289860.5654,0.0
171,3/23/2011,5411.399902,5484.950195,5401.950195,5480.25,0,5448.01999505,5449.96369367,15085917.556,11519918.75,0.0
172,3/24/2011,5501.799805,5529.0,5496.100098,5522.399902,0,5452.27248525,5459.01821971,15085917.556,12300745.6846,0.0
173,3/25/2011,5588.649902,5667.100098,5560.950195,5654.25,0,5471.8499755,5483.42219224,15085917.556,14743268.75,0.0
174,3/28/2011,5645.25,5709.100098,5643.200195,5687.25,0,5491.03498525,5508.90066821,15085917.556,15354593.75,0.0
175,3/29/2011,5686.5,5770.350098,5680.700195,5736.350098,0,5511.18999015,5537.33184694,15085917.556,16264173.0654,0.0
176,3/30/2011,5755.799805,5803.149902,5753.899902,5787.649902,0,5524.457495,5568.62160382,15085917.556,17214501.9346,0.0
177,3/31/2011,5803.049805,5872.0,5778.649902,5833.75,0,5539.33498525,5601.76265334,15085917.556,18068506.25,0.0
178,4/1/2011,5835.0,5860.200195,5810.399902,5826.049805,0,5553.6999755,5629.7985473,15085917.556,17925860.1376,0.0
179,4/4/2011,5842.0,5918.700195,5833.200195,5908.450195,0,5575.96499015,5664.63000326,15085917.556,19452327.3624,0.0
180,4/5/2011,5923.850098,5928.649902,5855.850098,5910.049805,0,5595.42749015,5695.30747848,15085917.556,19481960.1376,0.0
181,4/6/2011,5908.0,5944.450195,5868.799805,5891.75,0,5613.46499015,5719.86279367,15085917.556,19142956.25,0.0
182,4/7/2011,5888.549805,5906.100098,5866.25,5885.700195,0,5633.0300048,5740.59246884,15085917.556,19030883.6124,0.0
183,4/8/2011,5886.75,5926.950195,5822.0,5842.0,0,5652.85749505,5753.26841023,15085917.556,18221337.5,0.0
184,4/11/2011,5805.350098,5830.299805,5777.899902,5785.700195,0,5665.5675048,5757.32238333,15085917.556,17178383.6124,0.0
185,4/13/2011,5747.950195,5923.600098,5735.549805,5911.5,0,5688.6600097,5776.59458541,15085917.556,19508825.0,0.0
186,4/15/2011,5898.75,5907.350098,5806.450195,5824.549805,0,5704.33000485,5782.58898786,15085917.556,17898072.6376,0.0
187,4/18/2011,5824.350098,5897.899902,5722.25,5729.100098,0,5718.45251465,5775.90287663,15085917.556,16129866.8154,0.0
188,4/19/2011,5716.0,5762.950195,5693.25,5740.75,0,5736.8050049,5771.50876705,15085917.556,16345681.25,0.0
189,4/20/2011,5786.049805,5857.350098,5759.649902,5851.649902,0,5761.15,5781.52640892,15085917.556,18400101.9346,0.0
190,4/21/2011,5882.850098,5912.899902,5864.350098,5884.700195,0,5784.69250485,5794.42313218,15085917.556,19012358.6124,0.0
191,4/25/2011,5859.600098,5906.600098,5857.0,5874.5,0,5804.40500485,5804.43274066,15085917.556,18823400.0,0.0
192,4/26/2011,5876.850098,5893.200195,5791.549805,5868.399902,0,5821.70500485,5812.42863582,15085917.556,18710395.6846,0.0
193,4/27/2011,5884.200195,5892.350098,5819.950195,5833.899902,0,5830.68749995,5815.1125441,15085917.556,18071283.1846,0.0
194,4/28/2011,5851.350098,5856.399902,5776.950195,5785.450195,0,5835.5975097,5811.40475046,15085917.556,17173752.3624,0.0
195,4/29/2011,5782.5,5804.299805,5706.049805,5749.5,0,5836.2550048,5803.66665665,15085917.556,16507775.0,0.0
196,5/2/2011,5766.899902,5775.25,5687.700195,5701.299805,0,5831.93749995,5790.8708002,15085917.556,15614866.3876,0.0
197,5/3/2011,5689.700195,5710.799805,5554.850098,5565.25,0,5818.51249995,5762.66820017,15085917.556,13094543.75,0.0
198,5/4/2011,5567.700195,5578.799805,5503.0,5537.149902,0,5804.0675048,5734.4784129,15085917.556,12573989.4346,0.0
199,5/5/2011,5531.600098,5560.299805,5443.649902,5459.850098,0,5781.63749995,5700.14987354,15085917.556,11142010.5654,0.0
200,5/6/2011,5477.649902,5564.399902,5472.450195,5551.450195,0,5763.70751945,5681.56241372,15085917.556,12838902.3624,0.0
201,5/9/2011,5575.200195,5586.049805,5502.399902,5551.100098,0,5746.67502435,5665.25462425,15085917.556,12832416.8154,0.0
202,5/10/2011,5555.549805,5592.899902,5514.549805,5541.25,0,5729.4525146,5649.75404622,15085917.556,12649943.75,0.0
203,5/11/2011,5547.200195,5574.700195,5525.0,5565.049805,0,5715.60500485,5639.16601607,15085917.556,13090835.1376,0.0
204,5/12/2011,5537.799805,5572.5,5476.299805,5486.149902,0,5700.6274902,5620.03900181,15085917.556,11629214.4346,0.0
205,5/13/2011,5492.350098,5605.0,5472.149902,5544.75,0,5682.2899902,5610.62787658,15085917.556,12714781.25,0.0
206,5/16/2011,5541.700195,5541.799805,5487.649902,5499.0,0,5666.01249995,5596.67439201,15085917.556,11867262.5,0.0
207,5/17/2011,5496.100098,5523.850098,5421.049805,5438.950195,0,5651.5050048,5576.95886739,15085917.556,10754839.8624,0.0
208,5/18/2011,5448.200195,5460.5,5401.25,5420.600098,0,5635.4975097,5557.41402121,15085917.556,10414904.3154,0.0
209,5/19/2011,5448.149902,5452.600098,5411.25,5428.100098,0,5614.3200195,5541.24978081,15085917.556,10553841.8154,0.0
210,5/20/2011,5450.649902,5517.549805,5432.75,5486.350098,0,5594.40251465,5534.38732046,15085917.556,11632923.0654,0.0
211,5/23/2011,5456.700195,5456.700195,5373.0,5386.549805,0,5570.0050049,5515.90763103,15085917.556,9784122.63762,0.0
212,5/24/2011,5385.100098,5422.600098,5367.450195,5394.850098,1,5546.3275147,5500.7754394,15075397.5983,9937885.56545,0.0
