Date,Open,High,Low,Close
4/9/2018,"7,044.32","7,178.11","6,661.99","6,770.73"
4/10/2018,"6,795.44","6,872.41","6,704.15","6,834.76"
4/11/2018,"6,843.47","6,968.32","6,817.59","6,968.32"
4/12/2018,"6,955.38","7,899.23","6,806.51","7,889.25"
4/13/2018,"7,901.09","8,183.96","7,758.93","7,895.96"
4/14/2018,"7,874.67","8,140.71","7,846.00","7,986.24"
4/15/2018,"7,999.33","8,338.42","7,999.33","8,329.11"
4/16/2018,"8,337.57","8,371.15","7,925.73","8,058.67"
4/17/2018,"8,071.66","8,285.96","7,881.72","7,902.09"
4/18/2018,"7,944.43","8,197.80","7,886.01","8,163.42"
4/19/2018,"8,159.27","8,298.69","8,138.78","8,294.31"
4/20/2018,"8,286.88","8,880.23","8,244.54","8,845.83"
4/21/2018,"8,848.79","8,997.57","8,652.15","8,895.58"
4/22/2018,"8,925.06","9,001.64","8,779.61","8,802.46"
4/23/2018,"8,794.39","8,958.55","8,788.81","8,930.88"
4/24/2018,"8,934.34","9,732.61","8,927.83","9,697.50"
4/25/2018,"9,701.03","9,745.32","8,799.84","8,845.74"
4/26/2018,"8,867.32","9,281.51","8,727.09","9,281.51"
4/27/2018,"9,290.63","9,375.47","8,987.05","8,987.05"
4/28/2018,"8,939.27","9,412.09","8,931.99","9,348.48"
4/29/2018,"9,346.41","9,531.49","9,193.71","9,419.08"
4/30/2018,"9,426.11","9,477.14","9,166.81","9,240.55"
5/1/2018,"9,251.47","9,255.88","8,891.05","9,119.01"
5/2/2018,"9,104.60","9,256.52","9,015.14","9,235.92"
5/3/2018,"9,233.97","9,798.33","9,188.15","9,743.86"
5/4/2018,"9,695.50","9,779.20","9,585.96","9,700.76"
5/5/2018,"9,700.28","9,964.50","9,695.12","9,858.15"
5/6/2018,"9,845.31","9,940.14","9,465.25","9,654.80"
5/7/2018,"9,645.67","9,665.85","9,231.53","9,373.01"
5/8/2018,"9,380.87","9,462.75","9,127.77","9,234.82"
5/9/2018,"9,223.73","9,374.76","9,031.62","9,325.18"
5/10/2018,"9,325.96","9,396.04","9,040.52","9,043.94"
5/11/2018,"9,052.96","9,052.96","8,394.46","8,441.49"
5/12/2018,"8,441.44","8,664.86","8,223.50","8,504.89"
5/13/2018,"8,515.49","8,773.55","8,395.12","8,723.94"
5/14/2018,"8,713.10","8,881.12","8,367.97","8,716.79"
5/15/2018,"8,705.19","8,836.19","8,456.45","8,510.38"
5/16/2018,"8,504.41","8,508.43","8,175.49","8,368.83"
5/17/2018,"8,370.05","8,445.54","8,054.12","8,094.32"
5/18/2018,"8,091.83","8,274.12","7,974.82","8,250.97"
5/19/2018,"8,255.73","8,372.06","8,183.35","8,247.18"
5/20/2018,"8,246.99","8,562.41","8,205.24","8,513.25"
5/21/2018,"8,522.33","8,557.52","8,365.12","8,418.99"
5/22/2018,"8,419.87","8,423.25","8,004.58","8,041.78"
5/23/2018,"8,037.08","8,054.66","7,507.88","7,557.82"
5/24/2018,"7,561.12","7,738.60","7,331.14","7,587.34"
5/25/2018,"7,592.30","7,659.14","7,392.65","7,480.14"
5/26/2018,"7,486.48","7,595.16","7,349.12","7,355.88"
